Clave_de_entidad,Entidad_federativa,Clave_de_municipio,Municipio,Poblacion_total,Porcentaje_poblacion_carencia,Personas_carencia_alimentacion
1,Aguascalientes,1001,Aguascalientes,922268,15.8,145444
1,Aguascalientes,1002,Asientos,48635,28.5,13870
1,Aguascalientes,1003,Calvillo,52377,20.1,10552
1,Aguascalientes,1004,Cosío,15942,25,3980
1,Aguascalientes,1005,Jesús María,127962,17.9,22945
1,Aguascalientes,1006,Pabellón de Arteaga,45100,16.6,7501
1,Aguascalientes,1007,Rincón de Romos,53844,23.8,12825
1,Aguascalientes,1008,San José de Gracia,9201,10.5,967
1,Aguascalientes,1009,Tepezalá,20898,21.9,4572
1,Aguascalientes,1010,El Llano,20182,24.4,4924
1,Aguascalientes,1011,San Francisco de los Romo,56833,21.2,12044
2,Baja California,2001,Ensenada,442249,12.5,55151
2,Baja California,2002,Mexicali,1029786,10.7,110450
2,Baja California,2003,Tecate,108846,11,11984
2,Baja California,2004,Tijuana,1913345,13.6,259353
2,Baja California,2005,Playas de Rosarito,130620,9.8,12850
2,Baja California,2006,San Quintín,117619,20.5,24129
3,Baja California Sur,3001,Comondú,78325,24.2,18935
3,Baja California Sur,3002,Mulegé,69902,15.6,10878
3,Baja California Sur,3003,La Paz,326350,22.6,73906
3,Baja California Sur,3008,Los Cabos,391603,23.8,93312
3,Baja California Sur,3009,Loreto,19285,21.2,4098
4,Campeche,4001,Calkiní,65892,27,17783
4,Campeche,4002,Campeche,306177,19.4,59270
4,Campeche,4003,Carmen,254143,27.8,70611
4,Campeche,4004,Champotón,82962,28.4,23548
4,Campeche,4005,Hecelchakán,37545,26.5,9959
4,Campeche,4006,Hopelchén,49773,16,7966
4,Campeche,4007,Palizada,9308,16,1485
4,Campeche,4008,Tenabo,12092,28,3390
4,Campeche,4009,Escárcega,65161,25.3,16494
4,Campeche,4010,Calakmul,40375,35.2,14207
4,Campeche,4011,Candelaria,55369,27.7,15335
4,Campeche,4012,Seybaplaya,n.d.,n.d.,n.d.
5,Coahuila de Zaragoza,5001,Abasolo,1019,6.2,64
5,Coahuila de Zaragoza,5002,Acuña,163931,15,24600
5,Coahuila de Zaragoza,5003,Allende,22759,7.6,1722
